French,English
partie,part
histoire,history
chercher,search
pensais,thought
aide,help
demande,request
car,because
aucun,no
ville,city
chaque,each
parlé,speak
devrait,should
bébé,baby
pendant,while
revoir,meet again
aucune,any
parle,speak
savais,knew
attention,Warning
voici,here is
donner,give
type,type
leurs,their
train,train
endroit,place
façon,way
trouve,find
premier,first
perdu,lost
main,hand
enfant,child
point,point
suite,after
pardon,sorry
venez,come
vers,towards
minutes,minutes
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
aujourd'hui,today
mari,husband
enfin,finally
eau,water
attendez,Wait
parti,left
arrêter,Stop
dirait,would say
compte,account
croire,believe
gros,large
aura,will have
jouer,to play
